OID_,description,usle_c,usle_p,lucode
1,_,1.000000000000000,1.000000000000000,1
2,_,1.000000000000000,1.000000000000000,2
3,_,1.000000000000000,1.000000000000000,3
4,_,0.001000000047497,1.000000000000000,4
5,_,0.001000000047497,1.000000000000000,5
6,_,0.400000005960464,1.000000000000000,6
7,_,0.004000000189990,1.000000000000000,7
8,_,0.004000000189990,1.000000000000000,8
9,_,0.400000005960464,1.000000000000000,9
10,G,1.000000000000000,1.000000000000000,10
11,_,1.000000000000000,1.000000000000000,11
12,W,0.004000000189990,1.000000000000000,12
13,W,0.113714285194874,1.000000000000000,13
14,_,1.000000000000000,1.000000000000000,14
15,_,0.001000000047497,1.000000000000000,15
16,_,0.400000005960464,1.000000000000000,16
17,W,1.000000000000000,1.000000000000000,17
18,W,0.001000000047497,1.000000000000000,18
19,W,0.400000005960464,1.000000000000000,19
20,W,0.004000000189990,1.000000000000000,20
21,_,1.000000000000000,1.000000000000000,21
22,S,0.400000005960464,1.000000000000000,22
23,W,1.000000000000000,1.000000000000000,23
24,W,0.400000005960464,1.000000000000000,24
25,_,0.001000000047497,1.000000000000000,25
26,_,0.400000005960464,1.000000000000000,26
27,_,0.400000005960464,1.000000000000000,27
28,W,0.400000005960464,1.000000000000000,28
29,M,1.000000000000000,1.000000000000000,29
30,M,0.400000005960464,1.000000000000000,30
31,W,1.000000000000000,1.000000000000000,31
32,W,1.000000000000000,1.000000000000000,32
33,W,0.400000005960464,1.000000000000000,33
34,W,0.004000000189990,1.000000000000000,34
35,W,0.001000000047497,1.000000000000000,35
36,W,0.001000000047497,1.000000000000000,36
37,W,0.004000000189990,1.000000000000000,37
38,S,0.001000000047497,1.000000000000000,38
39,S,0.400000005960464,1.000000000000000,39
40,W,1.000000000000000,1.000000000000000,40
41,W,0.004000000189990,1.000000000000000,41
42,W,0.004000000189990,1.000000000000000,42
43,W,0.400000005960464,1.000000000000000,43
44,_,1.000000000000000,1.000000000000000,44
45,_,0.400000005960464,1.000000000000000,45
46,S,0.400000005960464,1.000000000000000,46
47,S,0.400000005960464,1.000000000000000,47
48,S,0.400000005960464,1.000000000000000,48
49,G,1.000000000000000,1.000000000000000,49
50,W,1.000000000000000,1.000000000000000,50
51,W,0.001000000047497,1.000000000000000,51
52,W,0.004000000189990,1.000000000000000,52
53,W,1.000000000000000,1.000000000000000,53
